UID	Locale	Translation
ES-MD	ca	Comunidad de Madrid
ES-MD	eu	Comunidad de Madrid
ES-MD	ga	Comunidad de Madrid
ES-MD	en	Community of Madrid
ES-MD-M	es	Madrid
ES-MD-M	ca	Madrid
ES-MD-M	eu	Madrid
ES-MD-M	ga	Madrid
ES-MD-M	en	Madrid
ES-ML	es	Melilla
ES-ML	ca	Melilla
ES-ML	eu	Melilla
ES-ML	ga	Melilla
ES-ML	en	Melilla
ES-NC	es	Comunidad Foral de Navarra
ES-NC	ca	Comunidad Foral de Navarra
ES-NC	eu	Nafarroako Foru Komunitatea
ES-NC	ga	Comunidad Foral de Navarra
ES-NC	en	Navarre
ES-NC-NA	es	Navarra
ES-NC-NA	ca	Navarra
ES-NC-NA	eu	Nafarroa
ES-NC-NA	ga	Navarra
ES-NC-NA	en	Navarra / Nafarroa
ES-PV	es	País Vasco
ES-PV	ca	País Vasco
ES-PV	eu	Euskal Herria
ES-PV	ga	País Vasco
ES-PV	en	Basque Country
ES-PV-VI	es	Álava
ES-PV-VI	ca	Álava
ES-PV-VI	eu	Álava
ES-PV-VI	ga	Álava
ES-PV-VI	en	Álava
ES-PV-SS	es	Guipúzcoa
ES-PV-SS	ca	Guipúzcoa
ES-PV-SS	eu	Gipuzkoa
ES-PV-SS	ga	Guipúzcoa
ES-PV-SS	en	Guipúzcoa / Gipuzkoa
ES-PV-BI	es	Vizcaya
ES-PV-BI	ca	Vizcaya
ES-PV-BI	eu	Bizkaia
ES-PV-BI	ga	Vizcaya
ES-PV-BI	en	Vizcaya / Bizkaia
ES-RI	es	La Rioja
ES-RI	ca	La Rioja
ES-RI	eu	La Rioja
ES-RI	ga	La Rioja
ES-RI	en	La Rioja
ES-RI-LO	es	La Rioja
ES-RI-LO	ca	La Rioja
ES-RI-LO	eu	La Rioja
ES-RI-LO	ga	La Rioja
ES-RI-LO	en	La Rioja
ES-VC	es	Comunidad Valenciana
ES-VC	ca	Comunitat Valenciana
ES-VC	eu	Comunidad Valenciana
ES-VC	ga	Comunidad Valenciana
ES-VC	en	Valencian Community
ES-VC-A	es	Alicante
ES-VC-A	ca	Alicante
ES-VC-A	eu	Alicante
ES-VC-A	ga	Alicante
ES-VC-A	en	Alicante
ES-VC-CS	es	Castellón
ES-VC-CS	ca	Castellón
ES-VC-CS	eu	Castellón
ES-VC-CS	ga	Castellón
ES-VC-CS	en	Castellón
ES-VC-V	es	Valencia
ES-VC-V	ca	València
ES-VC-V	eu	Valencia
ES-VC-V	ga	Valencia
ES-VC-V	en	Valencia / València
ES-IB-PM-FO	es	Formentera
ES-IB-PM-IB	es	Ibiza
ES-IB-PM-MA	es	Mallorca
ES-IB-PM-ME	es	Menorca
ES-CN-GC-FU	es	Fuerteventura
ES-CN-GC-GC	es	Gran Canaria
ES-CN-GC-LA	es	Lanzarote
ES-CN-TF-LG	es	La Gomera
ES-CN-TF-EH	es	El Hierro
ES-CN-TF-LP	es	La Palma
ES-CN-TF-TF	es	Tenerife
ES-PV-VI-051	es	Agurain/Salvatierra
ES-PV-VI-001	es	Alegría-Dulantzi
ES-PV-VI-002	es	Amurrio
ES-PV-VI-049	es	Añana
ES-PV-VI-003	es	Aramaio
ES-PV-VI-006	es	Armiñón
ES-PV-VI-037	es	Arraia-Maeztu
ES-PV-VI-008	es	Arratzua-Ubarrundia
ES-PV-VI-004	es	Artziniega
ES-PV-VI-009	es	Asparrena
ES-PV-VI-010	es	Ayala/Aiara
ES-PV-VI-011	es	Baños de Ebro/Mañueta
ES-PV-VI-013	es	Barrundia
ES-PV-VI-014	es	Berantevilla
